group,metric,lead,fp32_mean,group_mean,mean_delta,ci_lo,ci_hi,rel_pct,svr,svr_ci_lo,svr_ci_hi,share,norm,rank,significant,lag1_autocorr,n,n_eff
encoder_io,RMSE Z500,24,39.31072394053141,38.74245516459147,-0.5682687759399414,-0.8857757647832235,-0.21340885957082117,-1.445582067630219,-0.40351356706450187,-0.6289674069735279,-0.151536339518486,-0.0849959363354586,share,5,True,0.32008010979768964,12,6.180714808041572
enc0_attn,RMSE Z500,24,39.31072394053141,39.69068400065104,0.3799600601196289,0.32514925797780353,0.4419525702794393,0.9665557436551562,0.2698002172428313,0.23088042572457965,0.31381956154780716,0.056830609822838773,share,6,True,0.37397014634957926,12,5.467628437025501
enc0_mlp,RMSE Z500,24,39.31072394053141,39.07232062021891,-0.2384033203125,-0.3756024996439616,-0.12691027323404952,-0.6064587380104026,-0.16928428633123574,-0.2667060215986532,-0.09011583817023607,-0.03565797434836498,share,7,True,0.2008092466923572,12,7.986521644556181
enc1_attn,RMSE Z500,24,39.31072394053141,42.42751375834147,3.1167898178100586,2.6261290470759073,3.621394157409668,7.928599388108662,2.2131551660472977,1.8647491191198136,2.5714621954829338,0.46617811877383064,share,1,True,0.47640398295398595,12,4.25571339355293
enc1_mlp,RMSE Z500,24,39.31072394053141,41.18907960255941,1.8783556620279949,1.653849975268046,2.144368783632914,4.778227093628546,1.3337737801044072,1.1743578587546357,1.522663101723775,0.28094557544712406,share,4,True,0.23413019739833757,12,7.4468947041359606
enc2_attn,RMSE Z500,24,39.31072394053141,39.33968734741211,0.028963406880696613,0.015874210993448892,0.042003377278645816,0.07367813150557073,0.020566197052511653,0.01127188361124748,0.029825556694414796,0.0043320555193584135,share,16,True,-0.12436368981525044,12,15.408639546864231
enc2_mlp,RMSE Z500,24,39.31072394053141,39.14052963256836,-0.17019430796305338,-0.2119475523630778,-0.12227280934651692,-0.43294625716005736,-0.12085075796510795,-0.15049870150468123,-0.0868228900537468,-0.02545595530980567,share,10,True,0.3745922330734821,12,5.459723271051701
downsample,RMSE Z500,24,39.31072394053141,39.49785772959391,0.1871337890625,-0.007872899373372396,0.3604296922683714,0.4760375040296709,0.1328790634643033,-0.005590350629479466,0.2559321873045197,0.027989592768071433,share,9,False,-0.07455597199503315,12,13.933497082193275
dec0_attn,RMSE Z500,24,39.31072394053141,39.35044892628988,0.03972498575846354,0.026224486033121743,0.05023566881815592,0.10105381375972322,0.028207727370680443,0.01862135727263068,0.03567110278961978,0.005941664408480917,share,15,True,-0.45033402203644574,12,31.662880662392624
dec0_mlp,RMSE Z500,24,39.31072394053141,39.08946895599365,-0.2212549845377604,-0.28939517339070636,-0.17043961683909098,-0.5628361992836132,-0.15710767830585254,-0.20549233681365509,-0.12102494571533018,-0.03309309850531342,share,8,True,-0.22055908225777374,12,18.7913011155737
