# mean signed RMSE degradation vs FP32, percent, per lead. source=harness_results.pt vars=7
scheme,role,tag,lead,deg_pct
,ceiling,ceiling,24,0.0056413
,ceiling,ceiling,72,0.015819
,ceiling,ceiling,120,-0.00424528
,ceiling,ceiling,168,-0.0791077
W8A8,floor,W8A8_floor,24,8.77139
W8A8,floor,W8A8_floor,72,4.03336
W8A8,floor,W8A8_floor,120,1.95943
W8A8,floor,W8A8_floor,168,1.24305
W8A8,knee,W8A8_knee,24,7.57614
W8A8,knee,W8A8_knee,72,3.78678
W8A8,knee,W8A8_knee,120,2.28112
W8A8,knee,W8A8_knee,168,1.77257
W8A8,span1,W8A8_span1,24,2.27672
W8A8,span1,W8A8_span1,72,2.00421
W8A8,span1,W8A8_span1,120,2.6606
W8A8,span1,W8A8_span1,168,2.45072
W8A8,span2,W8A8_span2,24,2.6893
W8A8,span2,W8A8_span2,72,2.28437
W8A8,span2,W8A8_span2,120,2.73864
W8A8,span2,W8A8_span2,168,2.43678
W8A8,span3,W8A8_span3,24,-0.0693605
W8A8,span3,W8A8_span3,72,-0.0370953
W8A8,span3,W8A8_span3,120,-0.029071
W8A8,span3,W8A8_span3,168,-0.0298056
W8A8,rmse_knee,W8A8_rmse_knee,24,8.62455
W8A8,rmse_knee,W8A8_rmse_knee,72,3.70484
W8A8,rmse_knee,W8A8_rmse_knee,120,1.52449
W8A8,rmse_knee,W8A8_rmse_knee,168,0.682766
W8A8,rmse_span1,W8A8_rmse_span1,24,1.30364
W8A8,rmse_span1,W8A8_rmse_span1,72,1.02042
W8A8,rmse_span1,W8A8_rmse_span1,120,1.04578
W8A8,rmse_span1,W8A8_rmse_span1,168,1.23009
W8A8,rmse_span2,W8A8_rmse_span2,24,-0.196611
W8A8,rmse_span2,W8A8_rmse_span2,72,-0.058185
W8A8,rmse_span2,W8A8_rmse_span2,120,0.0409539
W8A8,rmse_span2,W8A8_rmse_span2,168,0.16344
W8A8,rmse_span3,W8A8_rmse_span3,24,-0.0362949
W8A8,rmse_span3,W8A8_rmse_span3,72,-0.0236927
W8A8,rmse_span3,W8A8_rmse_span3,120,-0.0384908
W8A8,rmse_span3,W8A8_rmse_span3,168,0.0635
W4W8,floor,W4W8_floor,24,77.1859
W4W8,floor,W4W8_floor,72,75.4497
W4W8,floor,W4W8_floor,120,53.3683
W4W8,floor,W4W8_floor,168,31.7291
W4W8,knee,W4W8_knee,24,68.7332
W4W8,knee,W4W8_knee,72,70.0404
W4W8,knee,W4W8_knee,120,49.0173
W4W8,knee,W4W8_knee,168,28.1735
W4W8,span1,W4W8_span1,24,1.28306
W4W8,span1,W4W8_span1,72,4.19587
W4W8,span1,W4W8_span1,120,5.27915
W4W8,span1,W4W8_span1,168,6.47621
W4W8,span2,W4W8_span2,24,0.400494
W4W8,span2,W4W8_span2,72,0.344528
W4W8,span2,W4W8_span2,120,-0.105041
W4W8,span2,W4W8_span2,168,-0.198968
W4W8,span3,W4W8_span3,24,0.133091
W4W8,span3,W4W8_span3,72,0.183778
W4W8,span3,W4W8_span3,120,0.112385
W4W8,span3,W4W8_span3,168,0.118873
W4W8,rmse_span1,W4W8_rmse_span1,24,0.797945
W4W8,rmse_span1,W4W8_rmse_span1,72,0.344391
W4W8,rmse_span1,W4W8_rmse_span1,120,-0.434979
W4W8,rmse_span1,W4W8_rmse_span1,168,-0.678789
W4W8,rmse_span2,W4W8_rmse_span2,24,0.770459
W4W8,rmse_span2,W4W8_rmse_span2,72,0.429652
W4W8,rmse_span2,W4W8_rmse_span2,120,-0.192026
W4W8,rmse_span2,W4W8_rmse_span2,168,-0.499054
W4W8,rmse_span3,W4W8_rmse_span3,24,-0.0244285
W4W8,rmse_span3,W4W8_rmse_span3,72,-0.00269853
W4W8,rmse_span3,W4W8_rmse_span3,120,-0.0125299
W4W8,rmse_span3,W4W8_rmse_span3,168,-0.0593732
